title,location,roles,starting_status,b_location type,b_Roles,type_of_card,ideology,brief_explanation_of_teams_history,style_of_play,@art,@VP_icon_1,Secret_Objective_1,@VP_icon_2,Secret_Objective_2,@VP_icon_3,Secret_Objective_3,Secret_Objective_3,Secret_Objective_4,@VP_icon_5,Secret_Objective_5,@VP_icon_6,Secret_Objective_6,@variant_expansion,@status-symbol,color_theme,how_many_tokens_nation_starts_with,num-of-token_1st,@1st_token,num-of-token_2nd,@2nd_token,num-of-token_3rd,@3rd_token,num-of-token_4th,@4th_token,@flag
Fast-Growing Nation,China,"Premier, Secretary of Defense, & Chief Scientist",6,Location:,1-3 Players,National Agenda,Communist,"Everyone relies on you for cheap labor, manufacturing, and industry [represented by Red tokens]. Growth at all costs has quickly made you one of the greatest world powers. Your un-manageable many peoples, through many struggles, have come out of poverty, but to take your place as the central nation sacrifices must be made.",Introvert,nation-fast.jpg,icon_military.png,"Gain +2 Status if you successfully conquer a neighbor (Invade, defeat their Standing Army, and reach their Capital Hex). -1 Status Penalty for initiating war does not apply unless you fail.",icon_military.png,Gain +2 Status If Rich Nation (U.S.A) ever retreats a Standing Military from international waters.,icon_status.png,Gain +1 Status for each Nation you convince to adopt a new currency that you Innovate (costs White Tokens).,icon_status.png,Gain +1 Status for each Nation you convince to adopt a new currency that you Innovate (costs White Tokens).,icon_innovate.png,Gain +1 Status each time you Innovate a technology (costs White tokens) that competes with another Nation's Innovation.,,,,icon_status.png,red,"Fast-Growing Nation has 12 green tokens, 10 red tokens, 3, black tokens, 3 blue tokens",12,green tokens,10,red tokens,3,black tokens,3,blue tokens,f_china.jpg
Rich Nation,U.S.A.,"President, Secretary of Defense, & Chief Scientist",8,Location:,1-3 Players,National Agenda,Democratic Republic,"Your currency is the international standard which gives you unhindered trade. The only thing holding you back from taking over the world is your ideals and crippling inernal politics. You are rich, but will you remain so? You may use your influence to police the nations and keep the world at peace, but at what cost?",Advantaged,nation-rich.jpg,icon_military.png,Gain +1 Status the first time you place a Standing Military beyond your borders (Costs 1 Black & 1 Green).,icon_military.png,Gain +1 Status every other round that you keep a Standing Military outside your borders (costs 2 Green & 2 Black).,icon_military.png,Lose 1 Status each time your Standing Military retreats after Invading foreign lands.,icon_upgrade.png,Gain +1 Status the first time one of your Innovations (costs White Tokens) solves an international problem.,,,,,,icon_status.png,green,"Rich Nation has 12 green tokens, 10 white tokens, 3, blue tokens, 3 black tokens",12,green tokens,10,white tokens,3,blue tokens,3,black tokens,f_rich.jpg
Strong Nation,Russia,"President, Secretary of Defense, & Chief Scientist",5,Location:,1-3 Players,National Agenda,Federalist Republic,"Able to endure long winters your nation held out longer than anyone else against rule by monarchs, Napoleon, Hitler, and as an oil dependent economy--last to adopt sustainable energy. The tension in this game hangs on your will to war. Your goal is simple. Invade at least one nation, but before you do, see if they'll pay you not to.",Aggressive,nation-strong.jpg,icon_upgrade.png,Gain +2 Status the first time you Invade a Nation. -1 Status penalty for Invasions does not apply to you for the entire game.,icon_military.png,Gain +1 Status for each additional Engage Action.,icon_military.png,Gain +1 Status the first time another Nation invades your borders.,icon_status.png,Gain +1 Status if you delay adapting a new Technology by 1 round (game day) that 3 other Nations have adopted.,,,,,,icon_status.png,black,"Strong Nation has 9 blue tokens, 10 green tokens, 3, , 3 black tokens",9,blue tokens,10,green tokens,3,,3,black tokens,f_russia.jpg
Cloud Nation,South Korea,"President, Secretary of Defense, & Chief Scientist",6,Location:,1-3 Players,National Agenda,Conservative,"Though smaller, with less natural resources, and vulnerable to attack from many neighbors, you have one resource in abundance--your people's will to do good. Show the world how quickly a conservative education in both Confuscian and Christian ethics can bring poverty stricken nations into top tier technological progress.",Competitive,nation-cloud.jpg,icon_upgrade.png,Gain +2 Status the first time you can Innovate (costs White Tokens) for two consecutive rounds (game days).,icon_innovate.png,Gain +1 Status each time two or more nations contribute Tokens to or collaborate with your Action on the same round (game day).,icon_build.png,Gain +1 Status the first time you can Build (costs Red tokens) and/or Innovate (costs White Tokens) for 3 consecutive rounds (game days).,icon_build.png,Gain +1 Status when you mass produce (costs Red Tokens) your own Innovation.,icon_build.png,Gain +1 Status each time one of your Innovations (costs White Tokens) is mass produced (costs Red) and purchased/adopted by another nation.,,,,icon_status.png,white,"Cloud Nation has 9 white tokens, 6 green tokens, 3, black tokens,  ",9,white tokens,6,green tokens,3,black tokens,,,f_cloud.jpg
Tech Nation,Japan,"Prime Minister, Secretary of Defense, & Chief Scientist",6,Location:,1-3 Players,National Agenda,Nationalist,"A former world power, your military force invaded and formerly occupied most of Asia. You upset a lot of neighbors and were humbled by the Rich Nation (U.S.A). It's been decades since you came out with a world changing technology, so see if you can keep your technological lead over rising competition through top tier innovation.",Competitive,nation-tech.jpg,icon_innovate.png,Gain +2 Status the first time you can Innovate (costs White Tokens) for two consecutive rounds (game days).,icon_innovate.png,Gain +1 Status the first time you sell an Innovation to another Nation.,icon_build.png,Gain +1 Status the first time you can Innovate (costs White Tokens) and/or Build (costs Red Tokens) for 3 consecutive rounds (game days).,icon_upgrade.png,Gain +1 Status for each of your Innovations (costs White Tokens) that you or another Nation mass produces (costs Red Tokens).,,,,,,icon_status.png,blue,"Tech Nation has 9 blue tokens, 6 green tokens, 3, ,  ",9,blue tokens,6,green tokens,3,,,,f_tech.jpg
Control,Referee,,,Location:,1 for every 8 players,Team Agenda,Ludalist,"You are game master and adjudicator. Your job is to know the rules or make them up, explain them to the players, and then adjudicate them fairly. You will also have the opportunity to roleplay as every non-playable entity in the game including other nations, the citizenry of any nation (maybe you decide a player's use of military to suppress protests triggers a revolution and/or a military coup). Pressure players to make high-stakes high-risk decisions with limited intel. Request players gather Tokens or signatures from other players or win votes to achieve their objectives.",Neutral,nation-control.jpg,,Refer to the back of Action Reports for ways to adjudicate.PPPUse the Fate Deck or any dice system you like to simulate the odds of success.,,,,,,,,,,,e_6-or-more-teams.png,,,"Control has 0 ,  , , ,  ",0,,,,,,,,f_ref.jpg
Smart Nation,U.K.,"Prime Minister, Secretary of Defense, & Chief Scientist",6,Location:,1-3 Players,National Agenda,Constitutional Monarchy,"Your navy colonized the world bringing enlightenment to its darkest corners, and in the process managed to extract a lot of resources. To make amends like a true gentleman, use your world-leading universities to develop new sustainable energy technology, and unite the world before it falls into the hands of irresponsible capitalists.",Collaborative,nation-smart.jpg,icon_innovate.png,Gain +2 Status the first time you can Innovate (costs White Tokens) for two consecutive rounds (game days).,icon_innovate.png,Gain +1 Status the first time you sell an Innovation to another Nation.,icon_innovate.png,Gain +1 Status the first time one of your Innovations (costs White Tokens) is mass produced (costs Red) and purchased/adopted by another nation.,icon_build.png,Gain +1 Status the first time you can Build (costs Red tokens) and/or Innovate (costs White Tokens) for 3 consecutive rounds (game days).,icon_build.png,Gain +1 Status when you mass produce (costs Red Tokens) your own Innovation.,,,e_6-or-more-teams.png,icon_status.png,white,"Smart Nation has 10 white tokens, 6 green tokens, 3, blue tokens,  ",10,white tokens,6,green tokens,3,blue tokens,,,f_smart.jpg
Engineering Nation,Germany,"President, Secretary of Defense, & Chief Scientist",7,Location:,1-3 Players,National Agenda,Socialist Meritocracy,"You nearly defeated the entire world. Twice. But now you use your power to unite Europe. Be wary of Strong Nation (Russia), who shares a warlike past, but hasn't learned from their mistakes like you. Stubborn and hungry for power, they are likely to start a war with your neighbors.",Advantaged,nation-engineering.jpg,icon_status.png,"Gain +1 Status every other turn that you have more Green Tokens than two European Nations, or more than either Rich Nation (U.S.A.) or Strong Nation (Russia).",icon_military.png,Gain +1 Status the first time you place a Standing Military beyond your borders (Costs 1 Black & 1 Green).,icon_military.png,Gain +1 Status every other round that you keep a Standing Military outside your borders (costs 2 Green & 2 Black).,icon_upgrade.png,Gain +1 Status the first time one of your Innovations (costs White Tokens) solves an international problem.,,,,,e_6-or-more-teams.png,icon_status.png,green,"Engineering Nation has 9 green tokens, 6 blue tokens, 3, white tokens,  ",9,green tokens,6,blue tokens,3,white tokens,,,f_engineering.jpg
New Nation,Taiwan,"President, Secretary of Defense, & Chief Scientist",5,Location:,1-3 Players,National Agenda,Democratic Republic,"Despite being the newest nation, you have the longest history. After throwing you out of Fast-Growing Nation (China) and taking your seat at the U.N., those Communists continue to threaten you with invasion and veto your re-entry into the U.N.",Competitive,nation-new.jpg,,"Gain +2 Status if Fast-Growing Nation (China), Rich Nation (U.S.A.), and one additional nation sign an Action Report granting New Nation (Taiwan) re-entry into the U.N.",icon_build.png,Gain +1 Status each time one of your Innovations (costs White Tokens) is mass produced (costs Red) and purchased/adopted by another nation.,icon_upgrade.png,Gain +1 Status for each of your Innovations (costs White Tokens) that you or another Nation mass produces (costs Red Tokens).,icon_innovate.png,Gain +1 Status each time two or more nations contribute Tokens to or collaborate with your Action on the same round (game day).,,,,,e_6-or-more-teams.png,icon_status.png,white,"New Nation has 10 white tokens, 6 green tokens, 3, blue tokens,  ",10,white tokens,6,green tokens,3,blue tokens,,,f_new.jpg
Nieve Real,Latin American Cartel,"El Jefe (Boss), Head of Security, & Chief Scientist",2,Organized Crime:,1-3 Players,National Agenda,Cartel - Banana Republic,"No virus, gangster, war mongerer, or demogogue is as threatening as your cartel kingdom. Fold your Action Reports in half to signal to the Facilitator when you want your Actions to be kept clandestine. Feel free to steal, develop, or sell a black market alternative to any other Nation's innovations. Everyone deserves a little happiness, even the poor.",Diabolical,nation-narcos.jpg,icon_military.png,"Gain +1 Status for each successful secret Engage Action (steal, spy, sabotage) against another Nation.",icon_military.png,Gain +1 Status each time you spend Tokens to fund Engage Actions of other Nations.,icon_setback.png,Gain +1 Status each time a Player from another Nation signs a secret Action Report you wrote.,icon_setback.png,Gain +1 Status each time you extort money from a Nation by threatening to publicize an Action Report they secretly signed.,,,,,e_ten-plus_policing.png,icon_status.png,green,"Nieve Real has 10 green tokens, 6 , 3, blue tokens,  ",10,green tokens,6,,3,blue tokens,,,f_narcos.jpg
